magnification of mu=10
clustername	zcluster	zsource	source_plane_area	source_plane_area_withmag
abell383     0.187      5.0     14487.5065439     10.0
abell2261     0.224      5.0     22496.8267467     10.9343597805
macs0329     0.45      5.0     20349.488529     88.1136951247
macs0647     0.584      5.0     24412.5026663     102.096540173
macs0744     0.686      5.0     30924.5526586     105.948666956
abell383     0.187      6.0     12935.5644489     10.0
abell2261     0.224      6.0     20027.2396963     9.88583840025
macs0329     0.45      6.0     18045.8189027     80.4431158758
macs0647     0.584      6.0     21637.6738703     94.7010223617
macs0744     0.686      6.0     27502.2697852     97.3137954203
abell383     0.187      7.0     11585.2402511     10.0
abell2261     0.224      7.0     17897.7847386     8.95045328428
macs0329     0.45      7.0     16082.2127315     73.2486034469
macs0647     0.584      7.0     19278.0436292     87.1893280662
macs0744     0.686      7.0     24562.3153333     88.8252196071
abell383     0.187      8.0     10428.8818792     10.0
abell2261     0.224      8.0     16084.6385833     8.12086397837
macs0329     0.45      8.0     14422.4942685     66.7722274951
macs0647     0.584      8.0     17286.0476347     79.9986840529
macs0744     0.686      8.0     22064.3884776     81.1416885832
abell383     0.187      9.0     9440.77207659     10.0
abell2261     0.224      9.0     14541.4969129     7.40052995899
macs0329     0.45      9.0     13017.1250639     61.0678985182
macs0647     0.584      9.0     15600.5074414     73.3666525821
macs0744     0.686      9.0     19941.349433     74.5299328591
abell383     0.187      10.0     8593.63828819     10.0
abell2261     0.224      10.0     13222.452183     6.76844752283
macs0329     0.45      10.0     11820.371654     56.0637761868
macs0647     0.584      10.0     14165.7896116     67.3647227629
macs0744     0.686      10.0     18128.3037539     68.655860588
abell383     0.187      11.0     7863.362442     10.0
abell2261     0.224      11.0     12087.9880709     6.21762881325
macs0329     0.45      11.0     10794.0894671     51.6557234967
macs0647     0.584      11.0     12935.7692083     62.1090752643
macs0744     0.686      11.0     16570.0013567     63.415757435
abell383     0.187      12.0     7229.86447585     10.0
abell2261     0.224      12.0     11105.6878193     5.73695093514
macs0329     0.45      12.0     9907.53448013     47.7756189019
macs0647     0.584      12.0     11873.3924714     57.4521322314
macs0744     0.686      12.0     15221.383049     58.7372267798

